code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quarter
000806,银河生物,12.51,31.34,51.0224,43.6184,0.2061,139.173,0.6577,2000,2
600328,兰太实业,12.39,19.56,55.19,24.5142,0.2176,125.3085,1.1123,2000,2
600657,信达地产,12.36,27.61,49.5843,40.7726,0.3424,147.6713,1.2403,2000,2
600282,南钢股份,12.13,5.16,16.9428,80.5155,0.2683,1560.0785,5.2002,2000,2
600307,酒钢宏兴,12.12,6.83,13.8275,113.7863,0.2155,1663.5789,3.1507,2000,2
600135,乐凯胶片,12.02,27.35,43.6162,114.4919,0.4017,418.5279,1.4685,2000,2
600770,综艺股份,11.97,34.44,24.936,67.6925,0.2507,196.5269,0.7278,2000,2
000517,荣安地产,11.97,29.94,46.4702,27.2576,0.3032,91.0314,1.0126,2000,2
000078,海王生物,11.93,27.55,73.8567,27.7341,0.1815,100.6591,0.6587,2000,2
600297,广汇汽车,11.88,5.69,18.484,15.3376,0.2045,269.4793,3.593,2000,2
600016,民生银行,11.83,24.7,9.7244,205.8279,0.1491,833.2423,0.6036,2000,2
600383,金地集团,11.57,14.15,34.2112,41.943000000000005,0.1553,296.2183,1.0971,2000,2
000726,鲁泰A,11.48,18.76,32.9555,43.4978,0.2747,231.8039,1.4643,2000,2
600177,雅戈尔,11.39,17.69,43.9963,137.3697,0.5322,776.2968,3.008,2000,2
000751,锌业股份,11.27,18.29,21.378,274.5676,0.4464,1500.414,2.4396,2000,2
600794,保税科技,11.22,27.39,43.1851,21.6418,0.2009,78.9957,0.7336,2000,2
600298,安琪酵母,11.01,18.0,45.7849,14.3468,0.1424,79.6818,0.7912,2000,2
600555,海航创新,10.96,14.21,27.0826,74.1794,0.2098,521.9195,1.4764,2000,2
600255,鑫科材料,10.92,3.66,12.1055,12.9327,0.1989,353.1263,5.4327,2000,2
600207,安彩高科,10.91,22.32,43.5478,223.2661,0.5074,1000.1946,2.2731,2000,2
600246,万通地产,10.85,11.74,16.4865,10.4871,0.1691,89.3076,1.4404,2000,2
000039,中集集团,10.83,5.06,15.4158,206.1951,0.606,4067.8387,11.9571,2000,2
000503,海虹控股,10.76,19.12,26.9977,45.4459,0.2257,237.6718,1.1804,2000,2
600466,蓝光发展,10.72,20.02,44.8712,10.8959,0.1407,54.4126,0.703,2000,2
000540,中天金融,10.68,19.87,39.5737,28.7752,0.2933,144.814,1.4764,2000,2
600636,*ST爱富,10.58,10.28,26.6648,26.2949,0.2265,255.7839,2.2038,2000,2
000688,建新矿业,10.57,47.33,43.9616,47.4191,0.2385,100.1733,0.5039,2000,2
000869,张裕A,10.54,14.07,57.0897,67.577,0.2963,480.102,2.1057,2000,2
600653,申华控股,10.49,2.91,6.1246,95.0383,0.1735,3263.6532,5.957999999999999,2000,2
600157,永泰能源,10.44,10.33,21.4574,27.7096,0.1625,268.2013,1.5735,2000,2
000850,华茂股份,10.44,17.71,25.3383,53.7222,0.316,303.2285,1.7836,2000,2
600241,时代万恒,10.43,3.3,9.4484,14.1749,0.1865,429.0483,5.6453,2000,2
000539,粤电力A,10.29,24.63,53.3924,476.5201,0.37,1934.5423,1.5023,2000,2
000027,深圳能源,10.27,22.71,28.3736,188.4736,0.2078,829.6187,0.915,2000,2
000089,深圳机场,10.17,72.96,64.1259,145.7978,0.3239,199.8096,0.444,2000,2
000608,阳光股份,10.12,21.8,35.9404,43.8401,0.2101,201.0111,0.9636,2000,2
600817,*ST宏盛,10.03,9.45,22.6111,10.1379,0.1228,107.272,1.2999,2000,2
000651,格力电器,9.95,4.02,29.1058,116.9795,0.3597,2906.0017,8.936,2000,2
600879,航天电子,9.92,18.6,39.7133,30.6194,0.2101,164.5858,1.1294,2000,2
600775,南京熊猫,9.9,12.23,16.1387,72.9482,0.1113,596.4611,0.9106,2000,2
000895,双汇发展,9.87,4.98,13.8536,73.5764,0.2516,1475.7314,5.0474,2000,2
000983,西山煤电,9.84,17.69,52.7566,85.1599,0.1637,481.281,0.9255,2000,2
600333,长春燃气,9.8,25.07,25.505,29.9087,0.1669,119.26899999999999,0.6658,2000,2
600366,宁波韵升,9.78,12.17,28.3282,16.542,0.1301,135.9148,1.0693,2000,2
600854,春兰股份,9.77,13.5,30.1723,166.4486,0.5434,1232.7202,4.0244,2000,2
600183,生益科技,9.67,19.31,24.6522,85.3132,0.1738,441.6675,0.8999,2000,2
600104,上汽集团,9.66,34.82,39.158,434.8181,0.3105,1248.4985,0.8917,2000,2
600098,广州发展,9.66,20.94,43.1969,312.9905,0.261,1494.2992,1.2464,2000,2
600722,金牛化工,9.65,12.79,25.4146,79.9204,0.2036,624.424,1.5912,2000,2
600339,中油工程,9.65,12.75,27.0818,18.6524,0.1695,146.2555,1.3295,2000,2
000061,农产品,9.64,16.21,44.56100000000001,55.5407,0.3603,342.4796,2.2219,2000,2
600641,万业企业,9.64,51.95,45.358999999999995,85.4668,0.2323,164.4968,0.4471,2000,2
000657,中钨高新,9.58,9.27,16.3164,51.3371,0.3,553.5127,3.2353,2000,2
600278,东方创业,9.51,2.86,16.4204,43.3377,0.1805,1514.2668,6.3094,2000,2
600196,复星医药,9.32,21.62,49.198,62.1522,0.2291,287.4473,1.0596,2000,2
000778,新兴铸管,9.3,12.94,28.3539,142.4557,0.3278,1100.1582,2.532,2000,2
000099,中信海直,9.26,16.71,33.8937,22.9972,0.16899999999999998,137.6201,1.0119,2000,2
000158,常山股份,9.25,5.23,21.3892,49.0095,0.1633,936.8237,3.1227,2000,2
000996,中国中期,9.22,11.09,22.3993,12.0,0.15,108.2016,1.3525,2000,2
000559,万向钱潮,9.2,13.89,18.8388,85.0025,0.3005,611.6637,2.1624,2000,2
600310,桂东电力,9.18,9.82,23.872,18.1322,0.1622,184.5049,1.651,2000,2
600676,交运股份,9.16,20.53,42.7021,21.4337,0.1801,104.3806,0.8774,2000,2
600884,杉杉股份,9.07,16.24,30.4616,74.1525,0.3117,456.5609,1.9196,2000,2
600073,上海梅林,9.06,23.05,29.5689,76.3849,0.2357,331.2884,1.0224,2000,2
600267,海正药业,9.06,9.17,40.7566,23.4097,0.2018,255.0724,2.1988,2000,2
600736,苏州高新,9.02,36.08,59.464,91.5017,0.2165,253.5519,0.5999,2000,2
000839,中信国安,8.94,52.4,49.6835,143.8338,0.2437,274.4406,0.4651,2000,2
600265,ST景谷,8.83,12.99,40.9436,9.7514,0.15,75.0346,1.1543,2000,2
600705,中航资本,8.79,41.01,63.8177,68.7765,0.205,167.6764,0.4998,2000,2
000636,风华高科,8.78,29.65,37.3832,170.9926,0.4836,576.5174,1.6306,2000,2
600279,重庆港九,8.78,57.23,53.1227,16.2284,0.1139,28.3539,0.1991,2000,2
000637,茂化实华,8.75,6.37,13.4431,43.9326,0.2728,688.9353,4.2793,2000,2
600796,钱江生化,8.7,19.92,32.8663,21.7614,0.2043,109.1913,1.0251,2000,2
000004,国农科技,8.67,10.67,35.1422,6.3475,0.0755,59.465,0.7081,2000,2
600062,华润双鹤,8.57,11.86,43.7596,64.9304,0.2124,547.3149,1.7903,2000,2
000096,广聚能源,8.55,6.49,10.5913,35.8653,0.1463,551.8336,2.2523,2000,2
600019,宝钢股份,8.55,9.51,21.5504,1423.5561,0.1338,14957.6652,1.4064,2000,2
600776,东方通信,8.54,6.45,18.2351,183.1604,0.3213,2838.7253,4.9802,2000,2
